0,1,2,3,4,5,6,7,8
New York Knicks,101,Indiana Pacers,98,Box Score,,,,
Denver Nuggets,98,Kansas City Kings,124,Box Score,,,,
Golden State Warriors,104,New Jersey Nets,108,Box Score,,,,
Atlanta Hawks,108,Philadelphia 76ers,99,Box Score,,,,
Buffalo Braves,103,Phoenix Suns,113,Box Score,,,,
Chicago Bulls,108,San Antonio Spurs,116,Box Score,,,,
San Antonio Spurs,99,Atlanta Hawks,115,Box Score,,,,
Golden State Warriors,113,Boston Celtics,118,Box Score,,,,
Philadelphia 76ers,110,Chicago Bulls,115,Box Score,,,,
Washington Bullets,117,Denver Nuggets,112,Box Score,OT,,,
Detroit Pistons,106,Indiana Pacers,114,Box Score,OT,,,
Seattle SuperSonics,98,Los Angeles Lakers,90,Box Score,,,,
New York Knicks,150,Milwaukee Bucks,152,Box Score,3OT,,,
Cleveland Cavaliers,106,New Jersey Nets,116,Box Score,OT,,,
Phoenix Suns,126,New Orleans Jazz,113,Box Score,,,,
Buffalo Braves,126,Detroit Pistons,122,Box Score,2OT,,,
Phoenix Suns,101,Houston Rockets,97,Box Score,,,,
New Orleans Jazz,93,Kansas City Kings,115,Box Score,,,,
Chicago Bulls,103,New York Knicks,112,Box Score,,,,
Cleveland Cavaliers,116,Philadelphia 76ers,129,Box Score,,,,
Washington Bullets,104,Portland Trail Blazers,117,Box Score,,,,
Phoenix Suns,129,Atlanta Hawks,134,Box Score,2OT,,,
Golden State Warriors,95,Cleveland Cavaliers,101,Box Score,,,,
Indiana Pacers,114,Kansas City Kings,115,Box Score,,,,
Boston Celtics,97,Los Angeles Lakers,104,Box Score,,,,
Buffalo Braves,100,Milwaukee Bucks,111,Box Score,,,,
Detroit Pistons,117,New Orleans Jazz,108,Box Score,,,,
Washington Bullets,109,Seattle SuperSonics,111,Box Score,OT,,,
Houston Rockets,104,Buffalo Braves,110,Box Score,,,,
Atlanta Hawks,86,Chicago Bulls,94,Box Score,,,,
Washington Bullets,115,Los Angeles Lakers,120,Box Score,,,,
Phoenix Suns,110,New York Knicks,99,Box Score,,,,
Boston Celtics,99,Portland Trail Blazers,104,Box Score,,,,
Detroit Pistons,118,San Antonio Spurs,117,Box Score,,,,
Denver Nuggets,88,Seattle SuperSonics,93,Box Score,,,,
Boston Celtics,106,Golden State Warriors,111,Box Score,,,,
Atlanta Hawks,98,Indiana Pacers,109,Box Score,,,,
San Antonio Spurs,92,Milwaukee Bucks,116,Box Score,,,,
Houston Rockets,103,New Jersey Nets,93,Box Score,,,,
Phoenix Suns,119,Philadelphia 76ers,125,Box Score,,,,
New York Knicks,100,Cleveland Cavaliers,112,Box Score,,,,
Milwaukee Bucks,102,Detroit Pistons,118,Box Score,,,,
Chicago Bulls,110,Kansas City Kings,113,Box Score,,,,
New Jersey Nets,110,New Orleans Jazz,131,Box Score,,,,
Boston Celtics,99,Seattle SuperSonics,132,Box Score,,,,
Detroit Pistons,108,Chicago Bulls,107,Box Score,,,,
Denver Nuggets,93,Golden State Warriors,98,Box Score,,,,
Atlanta Hawks,109,Milwaukee Bucks,93,Box Score,,,,
Buffalo Braves,102,New Jersey Nets,103,Box Score,,,,
Boston Celtics,110,Phoenix Suns,129,Box Score,,,,
Los Angeles Lakers,98,Portland Trail Blazers,108,Box Score,,,,
Houston Rockets,101,San Antonio Spurs,107,Box Score,,,,
Buffalo Braves,105,Cleveland Cavaliers,111,Box Score,,,,
Milwaukee Bucks,131,Kansas City Kings,122,Box Score,,,,
San Antonio Spurs,115,New Orleans Jazz,105,Box Score,,,,
Philadelphia 76ers,110,New York Knicks,113,Box Score,,,,
Golden State Warriors,97,Portland Trail Blazers,109,Box Score,,,,
Los Angeles Lakers,111,Seattle SuperSonics,96,Box Score,,,,
Atlanta Hawks,93,Washington Bullets,100,Box Score,,,,
Washington Bullets,113,Atlanta Hawks,106,Box Score,,,,
Phoenix Suns,108,Denver Nuggets,127,Box Score,,,,
Boston Celtics,100,Detroit Pistons,122,Box Score,,,,
Kansas City Kings,99,Houston Rockets,113,Box Score,,,,
Milwaukee Bucks,108,Buffalo Braves,105,Box Score,,,,
Portland Trail Blazers,106,Chicago Bulls,115,Box Score,,,,
New Orleans Jazz,113,Cleveland Cavaliers,102,Box Score,,"19,548",,
Los Angeles Lakers,123,Golden State Warriors,82,Box Score,,,,
Seattle SuperSonics,105,Phoenix Suns,131,Box Score,,,,
Indiana Pacers,96,San Antonio Spurs,89,Box Score,,,,
Indiana Pacers,92,Atlanta Hawks,99,Box Score,,,,
Golden State Warriors,108,Denver Nuggets,130,Box Score,,,,
Portland Trail Blazers,111,Detroit Pistons,106,Box Score,,,,
Chicago Bulls,125,Philadelphia 76ers,129,Box Score,OT,,,
Buffalo Braves,87,Washington Bullets,106,Box Score,,,,
Cleveland Cavaliers,99,Houston Rockets,104,Box Score,,,,
Boston Celtics,124,Milwaukee Bucks,115,Box Score,,,,
New York Knicks,109,New Jersey Nets,101,Box Score,,,,
Kansas City Kings,104,Phoenix Suns,110,Box Score,,,,
Denver Nuggets,106,Atlanta Hawks,104,Box Score,,,,"at Charlotte, NC"
Detroit Pistons,103,Buffalo Braves,87,Box Score,,,,
Boston Celtics,97,Chicago Bulls,102,Box Score,,,,
Portland Trail Blazers,108,Golden State Warriors,99,Box Score,,,,
Houston Rockets,98,Indiana Pacers,99,Box Score,,,,
Kansas City Kings,109,Los Angeles Lakers,119,Box Score,,,,
New Orleans Jazz,116,New York Knicks,118,Box Score,,,,
Washington Bullets,119,Philadelphia 76ers,126,Box Score,,,,
Cleveland Cavaliers,101,San Antonio Spurs,122,Box Score,,,,
Phoenix Suns,110,Seattle SuperSonics,121,Box Score,,,,
0,1,2,3,4,5,6,7,8
,,,,,,,,
Cleveland Cavaliers,87,New York Knicks,96,Box Score,,,,
Kansas City Kings,102,Portland Trail Blazers,107,Box Score,,,,
Chicago Bulls,96,Seattle SuperSonics,114,Box Score,,,,
Detroit Pistons,106,Atlanta Hawks,103,Box Score,,,,
Phoenix Suns,125,Milwaukee Bucks,103,Box Score,,,,
Indiana Pacers,104,New Orleans Jazz,103,Box Score,,,,
Los Angeles Lakers,120,New York Knicks,117,Box Score,,,,
Chicago Bulls,90,Portland Trail Blazers,92,Box Score,,,,
Denver Nuggets,101,Washington Bullets,100,Box Score,,,,
Los Angeles Lakers,93,Buffalo Braves,94,Box Score,,,,
Atlanta Hawks,97,Detroit Pistons,111,Box Score,,,,
Chicago Bulls,94,Golden State Warriors,115,Box Score,,,,
