,0,1,2,3,4,5,6,7,8
159,New Orleans Jazz,103.0,Houston Rockets,101.0,Box Score,,,,
160,Washington Bullets,131.0,Kansas City Kings,125.0,Box Score,OT,,,
161,Indiana Pacers,127.0,New York Knicks,129.0,Box Score,OT,,,
162,Milwaukee Bucks,100.0,Philadelphia 76ers,111.0,Box Score,,,,
163,Cleveland Cavaliers,67.0,Portland Trail Blazers,109.0,Box Score,,,,
164,Chicago Bulls,102.0,Los Angeles Lakers,80.0,Box Score,,,,
165,Denver Nuggets,125.0,New Jersey Nets,118.0,Box Score,,,,
166,San Antonio Spurs,112.0,Phoenix Suns,134.0,Box Score,,,,
167,Detroit Pistons,101.0,Portland Trail Blazers,118.0,Box Score,,,,
168,Cleveland Cavaliers,115.0,Seattle SuperSonics,108.0,Box Score,,,,
169,Washington Bullets,114.0,Buffalo Braves,97.0,Box Score,,,,
170,Golden State Warriors,88.0,Milwaukee Bucks,109.0,Box Score,,,,
171,Indiana Pacers,108.0,New Orleans Jazz,123.0,Box Score,,,,
172,Buffalo Braves,102.0,New York Knicks,101.0,Box Score,,,,
173,Houston Rockets,99.0,Philadelphia 76ers,105.0,Box Score,,,,
174,Los Angeles Lakers,107.0,Phoenix Suns,118.0,Box Score,,,,
175,Denver Nuggets,119.0,Washington Bullets,114.0,Box Score,,,,
176,Denver Nuggets,104.0,Atlanta Hawks,105.0,Box Score,,,,
177,Houston Rockets,100.0,Boston Celtics,109.0,Box Score,,,,
178,Philadelphia 76ers,106.0,Detroit Pistons,105.0,Box Score,,,,
179,Golden State Warriors,116.0,Indiana Pacers,126.0,Box Score,,,,
180,Milwaukee Bucks,122.0,Kansas City Kings,116.0,Box Score,,,,
181,Chicago Bulls,111.0,Portland Trail Blazers,116.0,Box Score,,,,
182,New Jersey Nets,119.0,San Antonio Spurs,132.0,Box Score,,,,
183,Los Angeles Lakers,89.0,Seattle SuperSonics,113.0,Box Score,,,,
184,Phoenix Suns,82.0,Cleveland Cavaliers,97.0,Box Score,,,,
185,Denver Nuggets,129.0,New Orleans Jazz,131.0,Box Score,,,,
186,Milwaukee Bucks,117.0,Atlanta Hawks,115.0,Box Score,,,,
187,New York Knicks,119.0,Boston Celtics,121.0,Box Score,OT,,,
188,Phoenix Suns,118.0,Indiana Pacers,110.0,Box Score,,,,
189,New Jersey Nets,117.0,Los Angeles Lakers,129.0,Box Score,,,,
190,Golden State Warriors,119.0,Philadelphia 76ers,125.0,Box Score,OT,,,
191,Chicago Bulls,106.0,Seattle SuperSonics,89.0,Box Score,,,,
192,Philadelphia 76ers,112.0,Buffalo Braves,107.0,Box Score,,,,
193,Indiana Pacers,123.0,Denver Nuggets,136.0,Box Score,,,,
194,Cleveland Cavaliers,105.0,Detroit Pistons,87.0,Box Score,,,,
195,Boston Celtics,108.0,Kansas City Kings,110.0,Box Score,,,,
196,Golden State Warriors,106.0,New York Knicks,112.0,Box Score,,,,
197,New Jersey Nets,102.0,Portland Trail Blazers,114.0,Box Score,,,,
198,Milwaukee Bucks,107.0,San Antonio Spurs,129.0,Box Score,,,,
199,Houston Rockets,91.0,Washington Bullets,93.0,Box Score,,,,
200,Portland Trail Blazers,100.0,Los Angeles Lakers,93.0,Box Score,,,,
201,Kansas City Kings,106.0,New Orleans Jazz,115.0,Box Score,,,,
202,Denver Nuggets,97.0,Phoenix Suns,115.0,Box Score,,,,
203,New Jersey Nets,99.0,Seattle SuperSonics,96.0,Box Score,,,,
204,Houston Rockets,86.0,New York Knicks,104.0,Box Score,,,,
205,Boston Celtics,101.0,Atlanta Hawks,108.0,Box Score,,,,
206,New Orleans Jazz,87.0,Chicago Bulls,95.0,Box Score,,,,
207,Los Angeles Lakers,101.0,Cleveland Cavaliers,118.0,Box Score,,,,
208,Seattle SuperSonics,99.0,Denver Nuggets,115.0,Box Score,,,,
209,New Jersey Nets,101.0,Golden State Warriors,110.0,Box Score,,,,
210,New York Knicks,103.0,Houston Rockets,120.0,Box Score,,,,
211,Detroit Pistons,100.0,Milwaukee Bucks,99.0,Box Score,,,,
212,Phoenix Suns,96.0,Portland Trail Blazers,108.0,Box Score,,,,
213,Philadelphia 76ers,129.0,San Antonio Spurs,117.0,Box Score,,,,
214,Chicago Bulls,92.0,Boston Celtics,98.0,Box Score,,,,
215,Atlanta Hawks,93.0,Buffalo Braves,105.0,Box Score,,,,
216,Los Angeles Lakers,98.0,Detroit Pistons,104.0,Box Score,,,,
217,Milwaukee Bucks,120.0,Indiana Pacers,113.0,Box Score,,,,
218,Seattle SuperSonics,86.0,Kansas City Kings,84.0,Box Score,,,,
219,Philadelphia 76ers,117.0,New Orleans Jazz,114.0,Box Score,,,,
220,San Antonio Spurs,105.0,Washington Bullets,116.0,Box Score,,,,
222,Houston Rockets,105.0,Cleveland Cavaliers,92.0,Box Score,,,,
223,New York Knicks,116.0,San Antonio Spurs,120.0,Box Score,,,,
224,Seattle SuperSonics,111.0,Boston Celtics,89.0,Box Score,,,,
225,New Jersey Nets,92.0,Denver Nuggets,126.0,Box Score,,,,
226,Chicago Bulls,107.0,Indiana Pacers,102.0,Box Score,,,,
227,Detroit Pistons,97.0,Kansas City Kings,108.0,Box Score,,,,
228,Washington Bullets,108.0,Milwaukee Bucks,95.0,Box Score,,,,
229,Portland Trail Blazers,106.0,Phoenix Suns,103.0,Box Score,,,,
230,Seattle SuperSonics,102.0,Buffalo Braves,95.0,Box Score,,,,
231,Cleveland Cavaliers,97.0,Chicago Bulls,111.0,Box Score,,,,
232,Indiana Pacers,103.0,Detroit Pistons,89.0,Box Score,,,,
233,Atlanta Hawks,101.0,Golden State Warriors,118.0,Box Score,,,,
234,Philadelphia 76ers,116.0,Houston Rockets,120.0,Box Score,OT,,,
235,New Jersey Nets,115.0,Kansas City Kings,118.0,Box Score,OT,,,
236,Milwaukee Bucks,115.0,New York Knicks,108.0,Box Score,,,,
237,New Orleans Jazz,118.0,San Antonio Spurs,133.0,Box Score,,,,
238,Boston Celtics,93.0,Washington Bullets,103.0,Box Score,,,,
239,Washington Bullets,100.0,Cleveland Cavaliers,94.0,Box Score,,,,
